#truth_table, bitwiseExpression
[0 0 0 0 0 0 0 0],(x&~x)
[1 0 0 0 0 0 0 0],~(x|(y|z))
[0 1 0 0 0 0 0 0],~(x|(~y|z))
[1 1 0 0 0 0 0 0],~(x|z)
[0 0 1 0 0 0 0 0],~(~x|(y|z))
[1 0 1 0 0 0 0 0],~(y|z)
[0 1 1 0 0 0 0 0],(~z&(x^y))
[1 1 1 0 0 0 0 0],(z^(~x|(~y|z)))
[0 0 0 1 0 0 0 0],~(~x|(~y|z))
[1 0 0 1 0 0 0 0],(~z&~(x^y))
[0 1 0 1 0 0 0 0],(y&~z)
[1 1 0 1 0 0 0 0],(z^(~x|(y|z)))
[0 0 1 1 0 0 0 0],(x&~z)
[1 0 1 1 0 0 0 0],(z^(x|(~y|z)))
[0 1 1 1 0 0 0 0],(z^(x|(y|z)))
[1 1 1 1 0 0 0 0],~z
[0 0 0 0 1 0 0 0],(~x&(~y&z))
[1 0 0 0 1 0 0 0],~(x|y)
[0 1 0 0 1 0 0 0],(~x&(y^z))
[1 1 0 0 1 0 0 0],~(x|(y&z))
[0 0 1 0 1 0 0 0],(~y&(x^z))
[1 0 1 0 1 0 0 0],(y^~(x&(~y&z)))
[0 1 1 0 1 0 0 0],(~(x&y)&(x^(y^z)))
[1 1 1 0 1 0 0 0],((y&z)^~(x&(y^z)))
[0 0 0 1 1 0 0 0],(~(x^y)&(x^z))
[1 0 0 1 1 0 0 0],(y^(~x|(y&z)))
[0 1 0 1 1 0 0 0],(~(x&~y)&(y^z))
[1 1 0 1 1 0 0 0],((x&y)^~(x^(y&z)))
[0 0 1 1 1 0 0 0],(z^(x|(y&z)))
[1 0 1 1 1 0 0 0],(y^~(x&(y^z)))
[0 1 1 1 1 0 0 0],(z^(x|y))
[1 1 1 1 1 0 0 0],(z^~(~x&(~y&z)))
[0 0 0 0 0 1 0 0],(~x&(y&z))
[1 0 0 0 0 1 0 0],~(x|(y^z))
[0 1 0 0 0 1 0 0],~(x|~y)
[1 1 0 0 0 1 0 0],~(x|(~y&z))
[0 0 1 0 0 1 0 0],((x^y)&(x^z))
[1 0 1 0 0 1 0 0],(~(x&y)&~(y^z))
[0 1 1 0 0 1 0 0],(y^~(~x|(~y&z)))
[1 1 1 0 0 1 0 0],((x&y)^(y|~z))
[0 0 0 1 0 1 0 0],(y&(x^z))
[1 0 0 1 0 1 0 0],(~(x&~y)&~(x^(y^z)))
[0 1 0 1 0 1 0 0],(y&~(x&z))
[1 1 0 1 0 1 0 0],((y&~z)|~(x|(~y&z)))
[0 0 1 1 0 1 0 0],(z^(x|(~y&z)))
[1 0 1 1 0 1 0 0],(z^(x|~y))
[0 1 1 1 0 1 0 0],(y^~(~x|(y^z)))
[1 1 1 1 0 1 0 0],(z^~(~x&(y&z)))
[0 0 0 0 1 1 0 0],~(x|~z)
[1 0 0 0 1 1 0 0],(~x&(~y|z))
[0 1 0 0 1 1 0 0],(~x&(y|z))
[1 1 0 0 1 1 0 0],~x
[0 0 1 0 1 1 0 0],(z^(x&(~y|z)))
[1 0 1 0 1 1 0 0],((x&z)^~(y&~z))
[0 1 1 0 1 1 0 0],(x^(y|z))
[1 1 1 0 1 1 0 0],~(x&(y|z))
[0 0 0 1 1 1 0 0],(z^(x&(y|z)))
[1 0 0 1 1 1 0 0],(x^(~y|z))
[0 1 0 1 1 1 0 0],((x&z)^(y|z))
[1 1 0 1 1 1 0 0],~(x&(~y|z))
[0 0 1 1 1 1 0 0],(x^z)
[1 0 1 1 1 1 0 0],(z^~(~x&(y|z)))
[0 1 1 1 1 1 0 0],(z^~(~x&(~y|z)))
[1 1 1 1 1 1 0 0],~(x&z)
[0 0 0 0 0 0 1 0],(x&(~y&z))
[1 0 0 0 0 0 1 0],(~y&~(x^z))
[0 1 0 0 0 0 1 0],((x^y)&~(x^z))
[1 1 0 0 0 0 1 0],(z^(~x|(y&z)))
[0 0 1 0 0 0 1 0],(x&~y)
[1 0 1 0 0 0 1 0],(y^~(~x&(~y&z)))
[0 1 1 0 0 0 1 0],(y^(x|(y&z)))
[1 1 1 0 0 0 1 0],(y^~(~x&(y^z)))
[0 0 0 1 0 0 1 0],(x&(y^z))
[1 0 0 1 0 0 1 0],((x|~y)&~(x^(y^z)))
[0 1 0 1 0 0 1 0],((x|y)&(y^z))
